白色	255	255	255
深橄榄绿	42	50	57
浅灰色	238	238	238
灰色	182	182	182
象牙色	255	255	240
亮黄色	255	255	224
黄色	255	255	0
雪白色	255	250	250
花白色	255	250	240
柠檬绸色	255	250	205
米绸色	255	248	220
海贝色	255	245	238
淡紫红	255	240	245
番木色	255	239	213
白杏色	255	235	205
浅玫瑰色	255	228	225
桔黄色	255	228	196
鹿皮色	255	228	181
纳瓦白	255	222	173
桃色	255	218	185
金色	255	215	0
粉红色	255	192	203
亮粉红色	255	182	193
橙色	255	165	0
亮肉色	255	160	122
暗桔黄色	255	140	0
珊瑚色	255	127	80
热粉红色	255	105	180
西红柿色	255	99	71
红橙色	255	69	0
深粉红色	255	20	147
紫红色	255	0	255
红紫色	255	0	255
红色	255	0	0
老花色	253	245	230
亮金黄色	250	250	210
亚麻色	250	240	230
古董白	250	235	215
鲜肉色	250	128	114
幽灵白	248	248	255
薄荷色	245	255	250
烟白色	245	245	245
米色	245	245	220
浅黄色	245	222	179
沙褐色	244	164	96
天蓝色	240	255	255
蜜色	240	255	240
艾利斯兰	240	248	255
黄褐色	240	230	140
亮珊瑚色	240	128	128
苍麒麟色	238	232	170
紫罗兰色	238	130	238
暗肉色	233	150	122
淡紫色	230	230	250
亮青色	224	255	255
实木色	222	184	135
洋李色	221	160	221
淡灰色	220	220	220
暗深红色	220	20	60
苍紫罗兰色	219	112	147
金麒麟色	218	165	32
蓟色	216	191	216
亮灰色	211	211	211
茶色	210	180	140
巧可力色	210	105	30
秘鲁色	205	133	63
印第安红	205	92	92
中紫罗兰色	199	21	133
银色	192	192	192
暗黄褐色	189	183	107
褐玫瑰红	188	143	143
中粉紫色	186	85	211
暗金黄色	184	134	11
火砖色	178	34	34
粉蓝色	176	224	230
亮钢兰色	176	196	222
苍宝石绿	175	238	238
黄绿色	173	255	47
亮蓝色	173	216	230
暗灰色	169	169	169
褐色	165	42	42
赭色	160	82	45
暗紫色	153	50	204
苍绿色	152	251	152
暗紫罗兰色	148	0	211
中紫色	147	112	219
亮绿色	144	238	144
暗海兰色	143	188	143
重褐色	139	69	19
暗洋红	139	0	139
暗红色	139	0	0
紫罗兰蓝色	138	43	226
亮天蓝色	135	206	250
橄榄色	128	128	0
紫色	128	0	128
粟色	128	0	0
碧绿色	127	255	212
草绿色	124	252	0
中暗蓝色	123	104	238
亮蓝灰	119	136	153
灰石色	112	128	144
深绿褐色	107	142	35
石蓝色	106	90	205
中绿色	102	205	170
菊兰色	100	149	237
军兰色	95	158	160
暗橄榄绿	85	107	47
靛青色	75	0	130
中绿宝石	72	209	204
暗灰蓝色	72	61	139
钢兰色	70	130	180
皇家蓝	4	22	144
青绿色	64	224	208
中海蓝	60	179	113
橙绿色	50	205	50
暗瓦灰色	47	79	79
海绿色	46	139	87
森林绿	34	139	34
亮海蓝色	32	178	170
闪兰色	30	144	255
中灰兰色	25	25	112
浅绿色	0	255	255
青色	0	255	255
春绿色	0	255	127
酸橙色	0	255	0
中春绿色	0	250	154
暗宝石绿	0	206	209
深天蓝色	0	191	255
暗青色	0	139	139
水鸭色	0	128	128
绿色	0	128	0
暗绿色	0	100	0
蓝色	0	0	255
中兰色	0	0	205
暗蓝色	0	0	139
海军色	0	0	80
黑色	0	0	0
象牙黑色	88	87	86
冷灰色	128	138	135
暖灰色	128	118	105
石板灰色	118	128	105
白烟灰色	245	245	245
蛋壳灰色	252	230	202
镉红色	227	23	13
砖红色	156	102	31
珊瑚红色	255	127	80
番茄红色	255	99	71
印度红色	176	23	31
深红色	255	0	255
黑红色	116	0	0
锰蓝色	3	168	158
深蓝色	25	25	112
土耳其蓝色	0	199	140
天蓝灰色	202	235	216
象牙灰色	251	255	242
亚麻灰色	250	240	230
杏仁灰色	255	235	205
贝壳灰色	255	245	238
镉黄色	255	153	18
香蕉黄色	227	207	87
金黄色	255	215	0
肉黄色	255	125	64
粉黄色	255	227	132
橘黄色	255	128	0
萝卜黄色	237	145	33
黑黄色	85	102	0
棕色	128	42	42
土色	199	97	20
沙棕色	244	164	95
棕褐色	210	180	140
玫瑰红色	188	143	143
赫色	160	82	45
肖贡土色	199	97	20
胡紫色	153	51	250
浅桔黄色	255	153	0
棕黄色	255	204	153
橄榄绿色	51	51	0
深黄色	128	128	0
深绿色	0	51	0
鲜绿色	0	255	0
深灰蓝色	0	51	102
宝石蓝色	51	204	204
浅青绿色	204	255	255
浅蓝色	51	102	255
靛蓝色	51	51	153
蓝灰色	102	102	153
梅红色	153	51	102
洋红色	255	0	255
墨绿色	0	255	255
爱丽丝兰色	240	248	255
巧克力色	92	51	23
蓝紫色	159	95	159
黄铜色	181	166	66
亮金色	217	217	25
青铜色	140	120	83
青铜2色	166	125	61
藏青色	95	159	159
亮铜色	217	135	25
铜色	184	115	51
矢车菊兰色	66	66	111
深褐色	92	64	51
深铜绿色	74	118	110
深紫色	135	31	120
深石板蓝色	107	35	142
深石板灰色	47	79	79
深黄褐色	151	105	79
深蓝玉色	112	147	219
暗玫瑰色	133	99	99
长石色	209	146	117
秋叶色	219	219	112
铜绿色	82	127	118
土黄色	159	159	95
浅铜蓝色	143	143	189
浅木色	233	194	166
栗色	142	35	107
中蓝色	50	50	205
中草绿色	107	142	35
中秋叶色	234	234	174
中海绿色	66	111	66
中石板蓝色	127	0	255
中蓝玉色	112	219	219
中紫红色	219	112	147
中木色	166	128	100
夜蓝色	47	47	79
海蓝色	35	35	142
氖蓝色	77	77	255
氖粉红色	255	110	199
新夜蓝色	0	0	156
新黄褐色	235	199	158
暗金色	207	181	59
橘色	255	127	0
橘红色	255	36	0
淡绿色	143	188	143
石英色	217	217	243
富兰色	89	89	171
橙红色	111	66	66
猩红色	140	23	23
半甜巧克力色	107	66	38
石板蓝色	0	127	255
香粉红色	255	28	174
钢蓝色	35	107	142
夏天的天空色	56	176	222
蓝玉色	173	234	234
暗褐色	92	64	51
麦色	216	216	191
暗黄色	153	204	50
